callsign,valid_from,valid_to,days,origin,departure_time,destination,flight_time,flight_rules,aircraft_type,rvsm,equipment,pbn,route,alt,eet,performance,operator,remark
AZU2440,020825,020825,6,SBSP,1155,SBPS,0141,IS,E295/M,SW/C,EQPT/SDE3FGHIRWY,PBN/A1B1C1D1O2S1T1, | N0441F390 VUMEV UZ14 KALOP DCT PULKU DCT OSUNO,,EET/SBRE0055,,,
AZU2442,030825,030825,7,SBSP,0900,SBJP,0246,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0448F370 NUXEL UZ23 ANBEX DCT,,EET/SBRE0104,,,
AZU2444,020825,020825,6,SBCF,1645,SBFZ,0229,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0444F390 PABES UZ88 DOTKU,,EET/SBRE0033,,,
AZU2444,030825,030825,7,SBCF,1730,SBFZ,0229,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0444F390 PABES UZ88 DOTKU,,EET/SBRE0033,,,
AZU2447,020825,020825,6,SBSR,1500,SBSG,0251,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0450F390 VUPOG DCT VULPA DCT ILRUM DCT SIPIR DCT BOKID DCT TOSAD,,EET/SBRE0100,,,
AZU2449,060825,060825,3,SBSR,0725,SBRF,0250,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F390 DCT VUPOG DCT ISRIK DCT ERVOB DCT TIGVO DCT PULRI UZ79 MUDAR,,EET/SBRE0101,,,
AZU2449,030825,030825,7,SBSR,1505,SBRF,0250,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F390 DCT VUPOG DCT ISRIK DCT ERVOB DCT TIGVO DCT PULRI UZ79 MUDAR,,EET/SBRE0101,,,
AZU2449,020825,020825,6,SBSR,1455,SBRF,0250,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F390 DCT VUPOG DCT ISRIK DCT ERVOB DCT TIGVO DCT PULRI UZ79 MUDAR,,EET/SBRE0101,,,
AZU2451,030825,030825,7,SBSP,1555,SBRF,0251,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F370 NUXEL UZ23 ANBEX,,EET/SBRE0055,,,
AZU2451,020825,020825,6,SBSP,1620,SBRF,0251,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0449F370 NUXEL UZ23 ANBEX,,EET/SBRE0055,,,
AZU2452,040825,040825,1,SBCF,0220,SBSG,0224,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0456F350 ILPIR UZ72 EDNES UN866 DIMOD DCT TOSAD,,EET/SBRE0033,,,
